relic_name,tier,relic_price,item_bronze1,price_bronze1,item_bronze2,price_bronze2,item_bronze3,price_bronze3,item_argent1,price_argent1,item_argent2,price_argent2,item_gold1,price_gold1,ev_intact,ev_radiant
Axi A21 Relic,Axi,10.2,Styanax Prime Blueprint,28.5,Forma Blueprint,,Vadarya Prime Stock,3.5,Voruna Prime Chassis Blueprint,4.0,Cedo Prime Barrel,6.0,Alternox Prime Stock,8.5,9.38,8.18
Axi A22 Relic,Axi,12.5,Dual Zoren Prime Handle,2.0,Burston Prime Blueprint,2.95,Venato Prime Handle,3.6,2X Forma Blueprint,,Kompressa Prime Receiver,5.5,Afentis Prime Blueprint,45.5,3.68,7.08
Axi A3 Relic,Axi,12.3,Braton Prime Barrel,5.0,Helios Prime Carapace,6.5,Kogake Prime Boot,7.5,Hydroid Prime Neuroptics Blueprint,14.0,Cernos Prime String,8.5,Akbolto Prime Receiver,32.0,7.93,10.87
Axi A4 Relic,Axi,18.0,Braton Prime Stock,1.5,Forma Blueprint,,Zephyr Prime Neuroptics Blueprint,7.5,Fang Prime Handle,2.0,Ballistica Prime String,13.5,Akbolto Prime Receiver,32.0,4.62,7.8
Axi A5 Relic,Axi,9.0,Vasto Prime Barrel,9.0,Vasto Prime Receiver,8.5,Forma Blueprint,,Vasto Prime Blueprint,7.0,Akvasto Prime Link,13.1,Akvasto Prime Blueprint,32.0,7.28,10.14
Axi A6 Relic,Axi,9.2,Orthos Prime Handle,3.25,Braton Prime Stock,1.5,Chroma Prime Blueprint,8.5,Zhuge Prime Blueprint,7.0,Tipedo Prime Ornament,9.5,Atlas Prime Neuroptics Blueprint,43.5,6.04,9.86
Axi A7 Relic,Axi,8.6,Carrier Prime Systems,7.0,Braton Prime Blueprint,3.0,Akstiletto Prime Receiver,15.5,Fragor Prime Blueprint,10.4,2X Forma Blueprint,,Ash Prime Systems Blueprint,17.5,7.95,8.08
Axi A8 Relic,Axi,6.5,Pyrana Prime Barrel,6.5,Braton Prime Stock,1.5,Equinox Prime Chassis Blueprint,6.0,Gram Prime Blueprint,8.5,2X Forma Blueprint,,Aksomati Prime Link,36.15,5.2,7.65
Axi A9 Relic,Axi,6.6,Lex Prime Blueprint,2.6,Rubico Prime Stock,7.0,Gram Prime Blade,5.0,Ivara Prime Systems Blueprint,9.0,Akbronco Prime Link,3.5,Atlas Prime Neuroptics Blueprint,43.5,5.94,9.28
Axi B1 Relic,Axi,88.5,Euphona Prime Blueprint,4.0,Ash Prime Chassis Blueprint,11.0,Fang Prime Blade,2.5,Cernos Prime Blueprint,5.05,Kavasa Prime Buckle,15.75,Banshee Prime Systems Blueprint,32.5,7.37,10.33
Axi B2 Relic,Axi,17.75,Fragor Prime Head,7.5,Sybaris Prime Blueprint,6.5,Fang Prime Blade,2.5,2X Forma Blueprint,,Orthos Prime Blueprint,4.3,Banshee Prime Systems Blueprint,32.5,5.3,6.86
Axi B3 Relic,Axi,6.8,Paris Prime Lower Limb,2.15,Stradavar Prime Stock,6.5,Forma Blueprint,,Zhuge Prime Receiver,5.0,Atlas Prime Chassis Blueprint,7.0,Baza Prime Stock,37.5,4.26,7.59
Axi B4 Relic,Axi,6.6,Aksomati Prime Blueprint,4.35,Akjagara Prime Blueprint,3.7,Paris Prime Lower Limb,2.15,Ivara Prime Blueprint,8.5,Karyst Prime Handle,4.0,Baza Prime Blueprint,9.5,4.15,5.15
Axi B5 Relic,Axi,22.4,Paris Prime Lower Limb,2.15,Knell Prime Blueprint,4.0,Forma Blueprint,,Nagantaka Prime Receiver,6.75,Volnus Prime Head,6.5,Baruuk Prime Neuroptics Blueprint,34.0,3.7,7.08
Axi B6 Relic,Axi,6.5,Lex Prime Barrel,3.5,Forma Blueprint,,Afuris Prime Blueprint,3.9,Shade Prime Systems,6.0,Garuda Prime Chassis Blueprint,8.5,Baruuk Prime Neuroptics Blueprint,34.0,4.15,7.53
Axi B7 Relic,Axi,8.6,Forma Blueprint,,Burston Prime Blueprint,2.95,Wisp Prime Systems Blueprint,7.0,Gauss Prime Blueprint,6.5,Hystrix Prime Blueprint,6.45,Baruuk Prime Neuroptics Blueprint,34.0,4.62,7.65
Axi B8 Relic,Axi,24.0,Okina Prime Blade,8.5,Forma Blueprint,,Burston Prime Blueprint,2.95,Fang Prime Handle,2.0,Revenant Prime Systems Blueprint,12.5,Baruuk Prime Neuroptics Blueprint,34.0,5.18,8.21
Axi B9 Relic,Axi,9.17,Afuris Prime Blueprint,3.9,Braton Prime Blueprint,3.0,Forma Blueprint,,Cobra & Crane Prime Blueprint,3.5,Baruuk Prime Neuroptics Blueprint,34.0,Baruuk Prime Blueprint,15.5,6.18,10.2
Axi C1 Relic,Axi,15.0,Trinity Prime Neuroptics Blueprint,10.5,Vectis Prime Barrel,19.7,Lex Prime Receiver,3.35,Orthos Prime Blueprint,4.3,2X Forma Blueprint,,Cernos Prime Lower Limb,23.5,9.44,8.8
Axi C10 Relic,Axi,12.0,Epitaph Prime Blueprint,5.5,Okina Prime Blade,8.5,Lavos Prime Chassis Blueprint,3.0,Daikyu Prime Lower Limb,4.5,2X Forma Blueprint,,Caliban Prime Systems Blueprint,22.5,5.25,5.98
Axi C11 Relic,Axi,2.25,Perigale Prime Stock,8.0,Epitaph Prime Blueprint,5.5,Braton Prime Barrel,5.0,Daikyu Prime Lower Limb,4.5,Akbronco Prime Link,3.5,Caliban Prime Systems Blueprint,22.5,6.02,6.93
Axi C2 Relic,Axi,22.9,Forma Blueprint,,Trinity Prime Systems Blueprint,8.5,Braton Prime Blueprint,3.0,Silva & Aegis Prime Blade,7.3,Fragor Prime Handle,9.55,Cernos Prime Lower Limb,23.5,5.24,7.64
Axi C3 Relic,Axi,9.55,Helios Prime Carapace,6.5,Forma Blueprint,,Hydroid Prime Chassis Blueprint,8.5,Banshee Prime Blueprint,6.5,Pyrana Prime Receiver,8.5,Chroma Prime Systems Blueprint,28.5,6.02,8.35
Axi C4 Relic,Axi,24.0,Braton Prime Blueprint,3.0,Hydroid Prime Chassis Blueprint,8.5,Pyrana Prime Barrel,6.5,Sybaris Prime Receiver,9.0,Kogake Prime Blueprint,7.05,Chroma Prime Systems Blueprint,28.5,6.89,9.06
Axi C5 Relic,Axi,11.5,Braton Prime Barrel,5.0,Panthera Prime Blueprint,5.5,Tekko Prime Gauntlet,8.2,Tipedo Prime Ornament,9.5,Akbronco Prime Link,3.5,Corinth Prime Barrel,48.0,7.13,10.52
Axi C6 Relic,Axi,9.0,Pangolin Prime Handle,7.8,Karyst Prime Blueprint,6.45,Forma Blueprint,,Pandero Prime Barrel,5.3,Ivara Prime Systems Blueprint,9.0,Corinth Prime Barrel,48.0,6.14,10.04
Axi C7 Relic,Axi,10.0,Bronco Prime Blueprint,3.0,Magnus Prime Blueprint,7.5,Lex Prime Receiver,3.35,Volnus Prime Head,6.5,Tenora Prime Stock,9.8,Corinth Prime Barrel,48.0,6.26,10.37
Axi C8 Relic,Axi,10.0,Gara Prime Systems Blueprint,7.0,Burston Prime Blueprint,2.95,Forma Blueprint,,Pangolin Prime Blade,8.0,Volnus Prime Head,6.5,Corinth Prime Stock,17.5,4.47,6.31
Axi C9 Relic,Axi,5.0,Revenant Prime Chassis Blueprint,6.0,Braton Prime Receiver,4.0,Forma Blueprint,,Tatsu Prime Blade,5.0,Phantasma Prime Stock,22.5,Cobra & Crane Prime Guard,13.5,5.83,8.52
Axi D1 Relic,Axi,8.9,Braton Prime Blueprint,3.0,Chroma Prime Blueprint,8.5,Tiberon Prime Receiver,8.2,Zhuge Prime Receiver,5.0,2X Forma Blueprint,,Destreza Prime Blade,57.5,6.69,10.03
Axi D2 Relic,Axi,26.2,Aksomati Prime Receiver,7.0,Braton Prime Blueprint,3.0,Destreza Prime Handle,11.0,2X Forma Blueprint,,Rubico Prime Stock,7.0,Destreza Prime Blade,57.5,7.24,10.65
Axi D3 Relic,Axi,18.0,Limbo Prime Systems Blueprint,6.5,Lex Prime Blueprint,2.6,Braton Prime Stock,1.5,Pyrana Prime Receiver,8.5,Destreza Prime Blueprint,7.0,Dual Kamas Prime Blade,28.0,4.95,7.67
Axi D4 Relic,Axi,14.0,Latron Prime Barrel,14.5,Frost Prime Neuroptics Blueprint,8.5,Forma Blueprint,,Boar Prime Barrel,12.5,Mag Prime Neuroptics Blueprint,9.0,Dakra Prime Blade,14.75,8.49,9.61
Axi D5 Relic,Axi,13.4,Akarius Prime Barrel,7.0,Afuris Prime Blueprint,3.9,Paris Prime Upper Limb,2.2,Larkspur Prime Stock,6.0,Revenant Prime Neuroptics Blueprint,8.0,Dual Keres Prime Blueprint,15.0,5.16,6.48
Axi D6 Relic,Axi,2.3,Lex Prime Receiver,3.35,Lavos Prime Chassis Blueprint,3.0,Paris Prime Lower Limb,2.15,Orthos Prime Blade,3.5,Cedo Prime Barrel,6.0,Dual Zoren Prime Blade,11.5,3.43,4.47
Axi E1 Relic,Axi,18.9,Latron Prime Barrel,14.5,Sicarus Prime Blueprint,9.5,Frost Prime Neuroptics Blueprint,8.5,Glaive Prime Blade,17.5,2X Forma Blueprint,,Ember Prime Blueprint,25.0,10.66,11.42
Axi E2 Relic,Axi,10.0,Paris Prime Blueprint,2.9,Lex Prime Receiver,3.35,Braton Prime Stock,1.5,Bronco Prime Barrel,3.0,2X Forma Blueprint,,Euphona Prime Receiver,45.05,3.19,6.4
Axi F1 Relic,Axi,11.0,Lex Prime Blueprint,2.6,Forma Blueprint,,Braton Prime Stock,1.5,Atlas Prime Systems Blueprint,5.5,Vauban Prime Blueprint,14.05,Fragor Prime Blueprint,10.4,3.4,5.63
Axi F2 Relic,Axi,4.2,Revenant Prime Chassis Blueprint,6.0,Bronco Prime Receiver,3.6,Masseter Prime Handle,3.2,Velox Prime Blueprint,2.8,Wisp Prime Neuroptics Blueprint,6.5,Fulmin Prime Receiver,25.0,4.77,6.49
Axi F3 Relic,Axi,4.3,Forma Blueprint,,Epitaph Prime Blueprint,5.5,Braton Prime Stock,1.5,Bronco Prime Barrel,3.0,Lavos Prime Blueprint,3.5,Fulmin Prime Receiver,25.0,2.99,4.97
Axi G1 Relic,Axi,8.7,Nekros Prime Chassis Blueprint,9.5,Saryn Prime Systems Blueprint,6.5,Paris Prime Blueprint,2.9,Kavasa Prime Kubrow Collar Blueprint,5.6,2X Forma Blueprint,,Galatine Prime Blueprint,40.0,6.2,8.27
Axi G10 Relic,Axi,5.8,Corvas Prime Receiver,8.65,Forma Blueprint,,Orthos Prime Handle,3.25,Larkspur Prime Receiver,7.5,Hystrix Prime Blueprint,6.45,Garuda Prime Systems Blueprint,35.0,5.25,8.27
Axi G11 Relic,Axi,5.8,Forma Blueprint,,Orthos Prime Handle,3.25,Shade Prime Cerebrum,6.5,Braton Prime Blueprint,3.0,Afuris Prime Link,6.05,Grendel Prime Systems Blueprint,25.0,3.97,5.94
Axi G12 Relic,Axi,6.0,Bronco Prime Blueprint,3.0,Revenant Prime Chassis Blueprint,6.0,Burston Prime Blueprint,2.95,Masseter Prime Blueprint,4.0,2X Forma Blueprint,,Garuda Prime Neuroptics Blueprint,35.0,4.17,6.29
Axi G13 Relic,Axi,5.0,Hystrix Prime Barrel,7.0,Lex Prime Barrel,3.5,Forma Blueprint,,Nagantaka Prime Receiver,6.75,Khora Prime Chassis Blueprint,7.0,Garuda Prime Neuroptics Blueprint,35.0,4.87,8.0
Axi G14 Relic,Axi,1.0,Quassus Prime Handle,4.0,Fang Prime Blade,2.5,Sevagoth Prime Neuroptics Blueprint,2.0,2X Forma Blueprint,,Zylok Prime Receiver,4.1,Grendel Prime Systems Blueprint,25.0,3.1,4.74
Axi G15 Relic,Axi,5.15,Grendel Prime Neuroptics Blueprint,5.5,Bronco Prime Blueprint,3.0,Forma Blueprint,,Zylok Prime Receiver,4.1,Paris Prime Grip,3.05,Gauss Prime Systems Blueprint,25.0,3.44,5.35
Axi G2 Relic,Axi,20.2,Wukong Prime Neuroptics Blueprint,8.5,Akbolto Prime Blueprint,3.9,Burston Prime Receiver,3.5,Tipedo Prime Ornament,9.5,Redeemer Prime Blueprint,4.65,Gram Prime Handle,19.5,5.97,7.43
Axi G3 Relic,Axi,8.0,Lex Prime Blueprint,2.6,Forma Blueprint,,Ninkondi Prime Blueprint,8.0,Burston Prime Barrel,4.0,Kronen Prime Handle,8.5,Gram Prime Handle,19.5,4.45,6.22
Axi G4 Relic,Axi,12.8,Fang Prime Blueprint,1.75,Aksomati Prime Receiver,7.0,Tekko Prime Gauntlet,8.2,Pangolin Prime Blade,8.0,Burston Prime Barrel,4.0,Gram Prime Handle,19.5,6.0,7.18
Axi G5 Relic,Axi,7.95,Chroma Prime Blueprint,8.5,Tiberon Prime Receiver,8.2,Burston Prime Stock,2.0,Zephyr Prime Blueprint,15.5,2X Forma Blueprint,,Gram Prime Handle,19.5,6.83,8.17
Axi G6 Relic,Axi,9.5,Aksomati Prime Blueprint,4.35,Karyst Prime Blueprint,6.45,Forma Blueprint,,Braton Prime Stock,1.5,Nezha Prime Blueprint,7.0,Gara Prime Blueprint,39.0,4.45,7.4
Axi G7 Relic,Axi,11.2,Gara Prime Systems Blueprint,7.0,Burston Prime Blueprint,2.95,Inaros Prime Systems Blueprint,7.0,Tenora Prime Stock,9.8,Astilla Prime Blueprint,6.6,Garuda Prime Systems Blueprint,35.0,6.8,9.61
Axi G8 Relic,Axi,10.0,Dual Keres Prime Blade,8.35,Braton Prime Blueprint,3.0,Corvas Prime Stock,4.75,2X Forma Blueprint,,Gara Prime Chassis Blueprint,18.5,Garuda Prime Systems Blueprint,35.0,6.81,9.88
Axi G9 Relic,Axi,11.7,Burston Prime Blueprint,2.95,Dual Keres Prime Blade,8.35,Forma Blueprint,,Garuda Prime Chassis Blueprint,8.5,Cobra & Crane Prime Blade,4.95,Gara Prime Blueprint,39.0,5.12,8.47
Axi H1 Relic,Axi,13.1,Forma Blueprint,,Fragor Prime Head,7.5,Vectis Prime Barrel,19.7,Akstiletto Prime Receiver,15.5,Trinity Prime Chassis Blueprint,9.0,Helios Prime Cerebrum,40.0,10.38,13.43
Axi H2 Relic,Axi,8.8,Oberon Prime Chassis Blueprint,9.0,Lex Prime Receiver,3.35,Fang Prime Handle,2.0,Trinity Prime Chassis Blueprint,9.0,Akstiletto Prime Barrel,11.5,Helios Prime Cerebrum,40.0,6.69,10.49
Axi H3 Relic,Axi,10.6,Kronen Prime Blueprint,5.65,Cernos Prime Grip,8.6,Helios Prime Carapace,6.5,Burston Prime Barrel,4.0,2X Forma Blueprint,,Hydroid Prime Systems Blueprint,38.5,6.47,8.11
Axi H4 Relic,Axi,20.2,Mesa Prime Chassis Blueprint,7.0,Mirage Prime Chassis Blueprint,10.0,Paris Prime Upper Limb,2.2,Akbolto Prime Link,5.45,2X Forma Blueprint,,Hydroid Prime Systems Blueprint,38.5,6.23,8.14
Axi H5 Relic,Axi,9.7,Banshee Prime Neuroptics Blueprint,3.8,Euphona Prime Blueprint,4.0,Akbolto Prime Blueprint,3.9,Mirage Prime Systems Blueprint,18.5,2X Forma Blueprint,,Helios Prime Cerebrum,40.0,5.8,9.65
Axi H6 Relic,Axi,6.6,Cobra & Crane Prime Hilt,5.0,Paris Prime Upper Limb,2.2,Garuda Prime Blueprint,6.5,Braton Prime Receiver,4.0,2X Forma Blueprint,,Hildryn Prime Blueprint,37.5,4.66,6.83
Axi H7 Relic,Axi,11.67,Braton Prime Receiver,4.0,Paris Prime Lower Limb,2.15,Cobra & Crane Prime Hilt,5.0,Fulmin Prime Stock,5.0,2X Forma Blueprint,,Harrow Prime Systems Blueprint,34.5,4.06,6.31
Axi H8 Relic,Axi,8.0,Zylok Prime Barrel,4.65,Forma Blueprint,,Akarius Prime Barrel,7.0,Shade Prime Blueprint,5.5,Fulmin Prime Blueprint,6.5,Hildryn Prime Blueprint,37.5,5.02,8.09
Axi I1 Relic,Axi,10.0,Pangolin Prime Handle,7.8,Panthera Prime Blueprint,5.5,Dethcube Prime Systems,7.0,Volnus Prime Head,6.5,2X Forma Blueprint,,Inaros Prime Neuroptics Blueprint,41.0,6.68,8.78
Axi I2 Relic,Axi,11.0,Strun Prime Receiver,7.5,Tenora Prime Blueprint,5.0,Forma Blueprint,,Gara Prime Chassis Blueprint,18.5,Baza Prime Barrel,4.8,Inaros Prime Neuroptics Blueprint,41.0,6.55,10.84
Axi I3 Relic,Axi,12.0,Panthera Prime Blueprint,5.5,Karyst Prime Blueprint,6.45,Forma Blueprint,,Ash Prime Blueprint,11.5,Fang Prime Handle,2.0,Inaros Prime Neuroptics Blueprint,41.0,5.33,8.79
Axi K1 Relic,Axi,26.3,Odonata Prime Harness Blueprint,6.5,Hikou Prime Pouch,7.0,Lex Prime Barrel,3.5,2X Forma Blueprint,,Akstiletto Prime Receiver,15.5,Kavasa Prime Buckle,15.75,6.33,7.51
Axi K10 Relic,Axi,5.2,Tenora Prime Blueprint,5.0,Forma Blueprint,,Magnus Prime Blueprint,7.5,Braton Prime Receiver,4.0,Strun Prime Stock,8.0,Knell Prime Barrel,29.0,5.07,7.38
Axi K11 Relic,Axi,8.3,Fang Prime Blueprint,1.75,Forma Blueprint,,Burston Prime Blueprint,2.95,Cobra & Crane Prime Blueprint,3.5,Scourge Prime Handle,6.5,Knell Prime Barrel,29.0,2.87,5.68
Axi K12 Relic,Axi,19.0,Ash Prime Chassis Blueprint,11.0,Carrier Prime Systems,7.0,Forma Blueprint,,Inaros Prime Blueprint,8.0,Vectis Prime Stock,23.5,Karyst Prime Blade,19.5,8.41,11.25
Axi K2 Relic,Axi,19.6,Orthos Prime Handle,3.25,Sybaris Prime Blueprint,6.5,Forma Blueprint,,Cernos Prime String,8.5,Galatine Prime Handle,5.65,Kronen Prime Blade,34.5,4.72,7.91
Axi K3 Relic,Axi,9.6,Paris Prime Blueprint,2.9,Tiberon Prime Receiver,8.2,Cernos Prime Grip,8.6,Pyrana Prime Receiver,8.5,Banshee Prime Blueprint,6.5,Kronen Prime Blade,34.5,7.33,9.73
Axi K4 Relic,Axi,9.45,Paris Prime Blueprint,2.9,Forma Blueprint,,Sybaris Prime Stock,13.0,Kogake Prime Blueprint,7.05,Destreza Prime Blueprint,7.0,Kronen Prime Blade,34.5,6.26,8.91
Axi K5 Relic,Axi,13.33,Ballistica Prime Lower Limb,9.0,Braton Prime Blueprint,3.0,Forma Blueprint,,Hydroid Prime Blueprint,14.5,Equinox Prime Blueprint,10.0,Kronen Prime Blade,34.5,6.42,10.35
Axi K6 Relic,Axi,10.0,Braton Prime Blueprint,3.0,Octavia Prime Neuroptics Blueprint,5.0,Forma Blueprint,,Harrow Prime Blueprint,6.0,Inaros Prime Chassis Blueprint,4.0,Karyst Prime Blade,19.5,3.52,5.28
Axi K7 Relic,Axi,13.1,Forma Blueprint,,Paris Prime Blueprint,2.9,Karyst Prime Blueprint,6.45,Corvas Prime Blueprint,5.2,Gara Prime Chassis Blueprint,18.5,Knell Prime Barrel,29.0,5.56,9.2
Axi K8 Relic,Axi,9.5,Burston Prime Blueprint,2.95,Corvas Prime Receiver,8.65,Forma Blueprint,,Akbronco Prime Link,3.5,Octavia Prime Chassis Blueprint,11.5,Khora Prime Neuroptics Blueprint,29.0,5.17,7.83
Axi K9 Relic,Axi,4.0,Orthos Prime Handle,3.25,Nagantaka Prime Barrel,6.0,Paris Prime Blueprint,2.9,Hystrix Prime Blueprint,6.45,Volnus Prime Head,6.5,Knell Prime Barrel,29.0,5.08,7.52
Axi L1 Relic,Axi,37.5,Reaper Prime Blueprint,9.4,Wyrm Prime Carapace,12.5,Latron Prime Blueprint,16.4,2X Forma Blueprint,,Glaive Prime Blade,17.5,Loki Prime Systems Blueprint,29.1,12.21,12.79
Axi L2 Relic,Axi,17.0,Orthos Prime Handle,3.25,Braton Prime Blueprint,3.0,Nami Skyla Prime Blueprint,8.25,2X Forma Blueprint,,Tiberon Prime Blueprint,6.8,Limbo Prime Neuroptics Blueprint,29.0,5.0,6.68
Axi L3 Relic,Axi,18.5,Nami Skyla Prime Blueprint,8.25,Kronen Prime Blueprint,5.65,Fang Prime Handle,2.0,Akjagara Prime Receiver,8.5,Zephyr Prime Chassis Blueprint,6.0,Limbo Prime Chassis Blueprint,48.5,6.59,10.4
Axi L4 Relic,Axi,17.0,Forma Blueprint,,Bo Prime Ornament,24.0,Wyrm Prime Carapace,12.5,Volt Prime Systems Blueprint,8.5,Odonata Prime Blueprint,8.5,Loki Prime Systems Blueprint,29.1,11.7,12.39
Axi L5 Relic,Axi,13.9,Fang Prime Blueprint,1.75,Burston Prime Blueprint,2.95,Rubico Prime Stock,7.0,Akbronco Prime Link,3.5,Kronen Prime Handle,8.5,Limbo Prime Chassis Blueprint,48.5,5.25,9.2
Axi L6 Relic,Axi,6.0,Zylok Prime Barrel,4.65,Fang Prime Blade,2.5,Paris Prime Blueprint,2.9,Hildryn Prime Chassis Blueprint,11.0,Cobra & Crane Prime Blade,4.95,Larkspur Prime Barrel,37.0,5.04,8.57
Axi M1 Relic,Axi,20.0,Zhuge Prime String,8.0,Lex Prime Barrel,3.5,Mesa Prime Chassis Blueprint,7.0,Orthos Prime Blueprint,4.3,Rubico Prime Barrel,6.5,Mirage Prime Blueprint,38.5,6.64,9.09
Axi M2 Relic,Axi,8.6,Bronco Prime Receiver,3.6,Titania Prime Chassis Blueprint,11.5,Burston Prime Blueprint,2.95,Panthera Prime Stock,8.7,Nezha Prime Blueprint,7.0,Magnus Prime Barrel,25.0,6.8,8.65
Axi M3 Relic,Axi,7.5,Akjagara Prime Blueprint,3.7,Fang Prime Blade,2.5,Forma Blueprint,,Hydroid Prime Neuroptics Blueprint,14.0,Ballistica Prime Upper Limb,8.5,Mesa Prime Neuroptics Blueprint,35.0,4.75,9.03
Axi M4 Relic,Axi,10.0,Destreza Prime Handle,11.0,Vasto Prime Barrel,9.0,Forma Blueprint,,Redeemer Prime Blueprint,4.65,Limbo Prime Neuroptics Blueprint,29.0,Mesa Prime Neuroptics Blueprint,35.0,9.47,13.56
Axi M5 Relic,Axi,10.0,Magnus Prime Blueprint,7.5,Akmagnus Prime Blueprint,10.5,Forma Blueprint,,Magnus Prime Receiver,6.5,Akmagnus Prime Link,9.5,Magnus Prime Barrel,25.0,6.82,8.7
Axi M6 Relic,Axi,5.4,Burston Prime Blueprint,2.95,Acceltra Prime Blueprint,3.0,Grendel Prime Neuroptics Blueprint,5.5,Cedo Prime Receiver,2.5,Xaku Prime Systems Blueprint,8.0,Masseter Prime Blade,10.0,4.26,5.01
Axi N1 Relic,Axi,20.4,Braton Prime Blueprint,3.0,Forma Blueprint,,Fang Prime Blade,2.5,Akstiletto Prime Link,9.0,Odonata Prime Wings Blueprint,17.5,Ash Prime Systems Blueprint,17.5,4.66,7.97
Axi N10 Relic,Axi,8.5,Harrow Prime Chassis Blueprint,10.0,Afuris Prime Barrel,5.5,Tatsu Prime Blueprint,4.1,Bronco Prime Barrel,3.0,Phantasma Prime Blueprint,4.8,Nidus Prime Neuroptics Blueprint,36.5,6.55,8.48
Axi N11 Relic,Axi,7.7,Khora Prime Systems Blueprint,7.0,Burston Prime Receiver,3.5,Forma Blueprint,,Garuda Prime Chassis Blueprint,8.5,Fang Prime Handle,2.0,Nagantaka Prime Blueprint,15.0,4.11,5.35
Axi N12 Relic,Axi,10.0,Nikana Prime Blueprint,6.5,Paris Prime String,3.4,Forma Blueprint,,Saryn Prime Blueprint,18.5,Strun Prime Barrel,7.5,Nidus Prime Chassis Blueprint,30.0,5.97,9.85
Axi N13 Relic,Axi,7.5,Quassus Prime Handle,4.0,Protea Prime Blueprint,2.0,Okina Prime Blade,8.5,Kompressa Prime Receiver,5.5,2X Forma Blueprint,,Nautilus Prime Cerebrum,18.0,4.64,5.32
Axi N2 Relic,Axi,15.2,Carrier Prime Carapace,14.0,Lex Prime Receiver,3.35,Bronco Prime Blueprint,3.0,2X Forma Blueprint,,Ash Prime Neuroptics Blueprint,12.0,Nikana Prime Hilt,40.25,7.28,9.82
Axi N3 Relic,Axi,28.4,Paris Prime Upper Limb,2.2,Dual Kamas Prime Blueprint,5.9,Forma Blueprint,,Volt Prime Blueprint,13.0,Bronco Prime Barrel,3.0,Nekros Prime Blueprint,25.0,4.31,7.05
